lake,density,survival,ln.growth,color,1.1,2.1,3.1,4.1,5.1,6.1,1,2,3,4,5,4.5,6,7,8,10,11,12,11.5,13
CP,H,0,0,orange,-7.994,55.786,0.018017882,-6.191,108.488,0.317601478,0.231724081,0.26925627,0.156853051,0.299688244,0.277173146,0.288430695,0.904064868,0.464140021,3.037727831,0.199998232,0.168314052,0.187777839,0.178045945,0.583824445
CP,H,0,0,orange,1.009,46.5,0.015570428,-5.871,91.619,0.241039324,0.160114925,0.217347056,0.151852214,0.271477641,0.213812933,0.242645287,0.743783453,0.373646584,2.483478464,0.173142653,0.130889931,0.133896141,0.132393036,0.508329007
CP,H,0,0,orange,-4.317,51.831,0.010380285,-8.096,101.082,0.240629214,0.171917754,0.232772129,0.15499306,0.285042431,0.245229017,0.265135724,0.794804609,0.394025209,2.596408721,0.17474796,0.122349846,0.143764097,0.133056972,0.500611887
CP,H,0,0,orange,-4.308,52.026,0.013947419,-6.401,100.161,0.335794979,0.3697494,0.400393212,0.177827003,0.312508321,0.26643804,0.289473181,1.070030672,0.534178864,3.297851667,0.247645722,0.179972381,0.173082751,0.176527566,0.72651097
CP,H,0,0,orange,-4.991,56.262,0.028060568,2.379,102.744,0.297933966,0.191447566,0.255363322,0.152405339,0.322841742,0.27961571,0.301228726,0.952860157,0.474652648,2.987642122,0.19933447,0.131918968,0.129910401,0.130914684,0.620132884
CP,H,0,0,orange,-0.476,51.716,0.031437652,1.946,96.739,0.272261225,0.229736642,0.278581516,0.15199929,0.295887216,0.24426286,0.270075038,0.85125669,0.454693218,2.71954138,0.150140832,0.1854286,0.137830287,0.161629443,0.570757546
CP,H,0,0,orange,5.289,50.793,0.023926349,0.993,105.297,0.312515069,0.226705892,0.266423456,0.177344113,0.317447333,0.269074448,0.293260891,0.919662555,0.454362882,2.918576584,0.205947504,0.137815344,0.150932233,0.144373788,0.655520557
CP,H,0,0,orange,-2.927,51.644,0.029522069,1.844,103.249,0.28662088,0.215435232,0.266825863,0.160580082,0.296213886,0.252587316,0.274400601,0.877787045,0.437565736,2.883052437,0.193433285,0.120982226,0.129557216,0.125269721,0.601993753
CP,H,0,0,orange,-12.351,50.937,0.012333763,-7.244,97.578,0.270500386,0.192990351,0.246758264,0.145116899,0.257657556,0.217492046,0.237574801,0.74754935,0.366749518,2.540072194,0.168296306,0.10598695,0.116718855,0.111352903,0.508728252
CP,H,0,0,orange,-11.813,52.946,0.015069269,-1.982,96.745,0.2571272,0.1571582,0.232611975,0.156118627,0.283557906,0.238648612,0.261103259,0.832291932,0.401324736,2.653667311,0.17502227,0.130944534,0.122282892,0.126613713,0.513120019
